drug_name,Présentation,Dosage,Distributeur ou fabriquant,Composition,Classe thérapeutique,Statut,Code ATC,PPV,Prix hospitalier,Tableau,Notice en français,Nature du Produit,Indication(s),Substance (s) psychoactive (s),Princeps,Mises en garde,Contres-indication(s),Posologies et mode d'administration,Risque potentiel de dépendance ou d’abus,PPC,Boîte,Grossesse,Allaitement,Effets indésirable,Conservation,Lien du Produit,Laboratoire détenteur de l'AMM dans le pays d'origine,Age minimal d'utilisation,Particularité,AO,Export,Tiers Payant,Convention de Vienne,RCP,Liens de redirection,Notice en arabe
"ACLAV 1 G / 125 MG, Sachet",Boîte de 12,99,PHARMA5,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,92.50 dhs,57.80 dhs,A,,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,Oui,Oui,,,,,,,,,,,,,
"ACLAV 1 G / 125 MG, Sachet",Boîte de 14,1 G | 125 MG,PHARMA5,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,107.50 dhs,67.20 dhs,A,,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"ACLAV 1 G / 125 MG, Sachet",Boîte de 16,1 G | 125 MG,PHARMA5,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,123.40 dhs,77.10 dhs,A,,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"ACLAV 1 G / 125 MG, Sachet",Boîte de 24,1 G | 125 MG,PHARMA5,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,174.80 dhs,109.20 dhs,A,,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"ACLAV 1 G / 200 MG ADULTE, Suspension injectable",Boîte de 1 flacon,1 G | 200 MG,PHARMA5,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,30.80 dhs,19.30 dhs,A,,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"ACLAV 100 MG / 12,5 ML, Poudre pour suspension buvable",2 flacons de 30 ml,"100 MG | 12,5 ML",PHARMA5,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,60.50 dhs,37.80 dhs,A,,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"ACLAV 100 MG / 12,5 ML, Poudre pour suspension buvable",2 flacons de 60 ml,"100 MG  | 12,5 M",PHARMA5,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,105.30 dhs,65.80 dhs,A,,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"ACLAV 100 MG / 12.5 ML, Poudre pour suspension buvable",Flacon de 30 ml,"100 MG | 12,5 ML",PHARMA5,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,34.20 dhs,21.40 dhs,A,,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"ACLAV 2 G / 200 MG ADULTE, Suspension injectable",Une boite unitaire,2 G | 200 MG,PHARMA5,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,43.00 dhs,26.90 dhs,A,,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"ACLAV 500 MG / 50 MG, Poudre pour préparation injectable",Boite contenant un flacon,500 MG | 50 MG,PHARMA5,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,18.70 dhs,11.70 dhs,A,,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"ACLAV 500 MG / 62,5 MG, Sachet",Boîte de 16,"500 MG  | 62,5 MG",PHARMA5,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,99.50 dhs,62.20 dhs,A,,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"ACLAV 500 MG / 62,5 MG, Sachet",Boîte de 24,"500 MG | 62,5 MG",PHARMA5,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,113.50 dhs,71.00 dhs,A,,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"ACLAV 500 MG / 62.5 MG, Sachet",Boîte de 12,500 MG | 62.5 MG,PHARMA5,Amoxicilline | Acide clavulanique,"Antibiotique, pénicilline avec inhibiteur des bêtalactamases",Commercialisé,J01CR02,74.60 dhs,46.60 dhs,A,,Médicament,"Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:
- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),
- otite moyenne aiguë,
- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),
- pneumonie aiguë communautaire,
- cystite,
- pyélonéphrite,
- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,
- infections des os et des articulations, en particulier ostéomyélite.

Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.",,,,,,,,,,,,,,,,,,,,,,,
"ACNO 10 MG, Capsule molle",Boîtede 30,10 MG,ZENITH PHARMA,Isotrétinoïne,"Antiacnéique systémique, rétinoïde",Commercialisé,D10BA01,142.10 dhs,88.80 dhs,A,,Médicament,Formes sévères d'acné s'étant révélées résistantes à des cycles thérapeutiques standard adéquats avec des antibiotiques systémiques et des traitements topiques.,,,"Effets tératogènes :

L'isotrétinoïne est un médicament tératogène puissant chez l’Homme entraînant une incidence élevée d’anomalies congénitales sévères et potentiellement létales chez l’enfant à naître.

L'isotrétinoïne est strictement contre-indiqué chez :

· les femmes enceintes ;
· les femmes en âge de procréer sauf si toutes les conditions du Programme de prévention de la grossesse sont remplies.","L’isotrétinoïne est contre-indiquée chez les femmes enceintes ou qui allaitent.

L’isotrétinoïne est contre-indiquée chez les femmes en âge de procréer sauf si toutes les conditions du « Programme de prévention de la grossesse » sont remplies.

L’isotrétinoïne est également contre-indiquée en cas de :

· hypersensibilité à la substance active ou à l’un des excipients.
· insuffisance hépatique ;
· hyperlipidémie ;
· hypervitaminose A;
· association avec les tétracyclines;
· prise concomitante de vitamine A;

· prise concomitante d’autres rétinoïdes (acitrétine, alitrétinoïne).",,,,,Non,,,,,,,,,,,,,,
"ACNO 20 MG, Capsule molle",Boîte de 30,20 MG,ZENITH PHARMA,Isotrétinoïne,"Antiacnéique systémique, rétinoïde",Commercialisé,D10BA01,269.00 dhs,179.10 dhs,A,,Médicament,Formes sévères d'acné s'étant révélées résistantes à des cycles thérapeutiques standard adéquats avec des antibiotiques systémiques et des traitements topiques.,,,"Effets tératogènes :

L'isotrétinoïne est un médicament tératogène puissant chez l’Homme entraînant une incidence élevée d’anomalies congénitales sévères et potentiellement létales chez l’enfant à naître.

L'isotrétinoïne est strictement contre-indiqué chez :

· les femmes enceintes ;
· les femmes en âge de procréer sauf si toutes les conditions du Programme de prévention de la grossesse sont remplies.","L’isotrétinoïne est contre-indiquée chez les femmes enceintes ou qui allaitent.

L’isotrétinoïne est contre-indiquée chez les femmes en âge de procréer sauf si toutes les conditions du « Programme de prévention de la grossesse » sont remplies.

L’isotrétinoïne est également contre-indiquée en cas de :

· hypersensibilité à la substance active ou à l’un des excipients.
· insuffisance hépatique ;
· hyperlipidémie ;
· hypervitaminose A;
· association avec les tétracyclines;
· prise concomitante de vitamine A;

· prise concomitante d’autres rétinoïdes (acitrétine, alitrétinoïne).",,,,,Non,,,,,,,,,,,,,,
