dci_a,dci_b,level_fr,severity,mechanism,recommendation
AMIODARONE,DIGOXINE,Précaution d'emploi,MODERATE,"Dépression de l'automatisme (bradycardie excessive) et troubles de la conduction auriculo-ventriculaire. De plus, augmentation de la digoxinémie par diminution de la clairance de la digoxine.","Surveillance clinique, ECG et, s'il y a lieu, contrôle de la digoxinémie et adaptation de la posologie de la digoxine."
AMIODARONE,DILTIAZEM,Association déconseillée,MAJOR,"Pour diltiazem voie injectable : risque de bradycardie et de bloc auriculo-ventriculaire Pour diltiazem per os : risque de bradycardie ou de bloc auriculo- ventriculaire, notamment chez les personnes âgées.","Association déconseillée avec : - le diltiazem IV Si l'association ne peut être évitée, surveillance clinique et ECG continu. Précaution d'emploi avec : - le diltiazem per os Surveillance clinique et ECG."
AMIODARONE,DOCETAXEL,Précaution d'emploi,MODERATE,Risque de majoration des effets indésirables du docétaxel par diminution de son métabolisme hépatique par l’amiodarone,Surveillance clinique et adaptation éventuelle de la posologie du docétaxel.
AMIODARONE,ESMOLOL,Précaution d'emploi,MODERATE,"Troubles de la contractilité, de l'automatisme et de la conduction (suppression des mécanismes sympathiques compensateurs).",Surveillance clinique et ECG.
AMIODARONE,FIDAXOMICINE,Association déconseillée,MAJOR,Augmentation des concentrations plasmatiques de la fidaxomicine.,
AMIODARONE,LIDOCAINE,Précaution d'emploi,MODERATE,"Risque d’augmentation des concentrations plasmatiques de lidocaïne, avec possibilité d’effets indésirables neurologiques et cardiaques, par diminution de son métabolisme hépatique par l’amiodarone.","Surveillance clinique, ECG et éventuellement contrôle des concentrations plasmatiques de lidocaïne. Si besoin, adaptation de la posologie de la lidocaïne pendant le traitement par amiodarone et après son arrêt."
AMIODARONE,NINTÉDANIB,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatiques du nintédanib par augmentation de son absorption par l'amiodarone.,Surveillance clinique pendant l’association.
AMIODARONE,OLAPARIB,Association déconseillée,MAJOR,Augmentation des concentrations plasmatiques d’olaparib par l' amiodarone,"Si l’association ne peut être évitée, limiter la dose d’olaparib à 200 mg 2 fois par jour avec l’amiodarone."
AMIODARONE,OMBITASVIR PARITAPRÉVIR,Contre-indication,MAJOR,Augmentation des concentrations plasmatiques de l'amiodarone par diminution de son métabolisme hépatique par la bithérapie.,
AMIODARONE,ORLISTAT,Précaution d'emploi,MODERATE,Risque de diminution des concentrations plasmatiques de l'amiodarone et de son métabolite actif.,"Surveillance clinique et, si besoin, ECG."
AMIODARONE,PACLITAXEL,Précaution d'emploi,MODERATE,Risque de majoration des effets indésirables du paclitaxel par diminution de son métabolisme hépatique par l’amiodarone.,Surveillance clinique et adaptation éventuelle de la posologie du paclitaxel.
AMIODARONE,SIMVASTATINE,Précaution d'emploi,MODERATE,Risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de la simvastatine).,Ne pas dépasser la posologie de 20 mg/j de simvastatine ou utiliser une autre statine non concernée par ce type d’interaction.
AMIODARONE,SOFOSBUVIR,Association déconseillée,MAJOR,"Survenue de bradycardie éventuellement brutale, pouvant avoir des conséquences fatales.","Si l'association ne peut être évitée, surveillance clinique et ECG étroite, en particulier pendant les premières semaines de traitement. Une surveillance continue en milieu hospitalier est requise pendant les 48 heures qui suivent la co-adminsitration. Prendre en compte la longue demi-vie de l'amiodarone chez les patients l'ayant arrêtée au cours des derniers mois et qui doivent débuter un traitement contenant du sofosbuvir."
AMIODARONE,TALAZOPARIB,Précaution d'emploi,MODERATE,Augmentation des concentrations de talazoparib avec risque de majoration de la toxicité.,Réduire la dose de talazoparib.
AMIODARONE,TAMSULOSINE,Précaution d'emploi,MODERATE,"Risque de majoration des effets indésirables de la tamsulosine, par inhibition de son métabolisme hépatique. 14","Surveillance clinique et adaptation de la posologie de la tamsulosine pendant le traitement par l’inhibiteur enzymatique et après son arrêt, le cas échéant."
AMIODARONE,VORICONAZOLE,Précaution d'emploi,MODERATE,"Risque majoré de troubles du rythme ventriculaire, notamment de torsades de pointes, par possible diminution du métabolisme de l’amiodarone.","Surveillance clinique et ECG, et adaptation éventuelle de la posologie de l’amiodarone."
AMLODIPINE,SIMVASTATINE,Précaution d'emploi,MODERATE,Risque majoré d’effets indésirables (dose-dépendants) à type de rhabdomyolyse (diminution du métabolisme hépatique de l’hypocholestérolémiant).,Ne pas dépasser la posologie de 20 mg/j de simvastatine ou utiliser une autre statine non concernée par ce type d’interaction.
AMPHOTERICINE B,CICLOSPORINE,À prendre en compte,MINOR,Avec l'amphotéricine B administrée par voie IV : augmentation de la créatininémie plus importante que sous ciclosporine seule (synergie des effets néphrotoxiques des deux substances).,
AMPHOTERICINE B,TACROLIMUS,À prendre en compte,MINOR,Avec l'amphotéricine B administrée par voie IV : augmentation de la créatininémie plus importante que sous tacrolimus seul (synergie des effets néphrotoxiques des deux substances).,
AMPHOTERICINE B,ZIDOVUDINE,Précaution d'emploi,MODERATE,Avec l'amphotéricine B administrée par voie IV : augmentation de la toxicité hématologique (addition d'effets de toxicité médullaire).,Contrôle plus fréquent de l'hémogramme.
ANAGRELIDE,ANTIAGRÉGANTS PLAQUETTAIRES,Association déconseillée,MAJOR,Majoration des événements hémorragiques.,
ANAGRELIDE,OMEPRAZOLE,À prendre en compte,MINOR,Risque de moindre efficacité de l'anagrélide par augmentation de son métabolisme par l'oméprazole.,Préférer un autre inhibiteur de la pompe à protons.
ANAKINRA,ANTI-TNF ALPHA,Association déconseillée,MAJOR,Risque accru d'infections graves et de neutropénies.,
ANAKINRA,ETANERCEPT,Association déconseillée,MAJOR,Risque accru d'infections graves et de neutropénies.,
ANALGÉSIQUES MORPHINIQUES AGONISTES,AUTRES ANALGÉSIQUES MORPHINIQUES AGONISTES,À prendre en compte,MINOR,"Risque majoré de dépression respiratoire, pouvant être fatale en cas de surdosage.",
ANALGÉSIQUES MORPHINIQUES AGONISTES,ANTITUSSIFS MORPHINE-LIKE,À prendre en compte,MINOR,"Risque majoré de dépression respiratoire, pouvant être fatale en cas de surdosage.",
ANALGÉSIQUES MORPHINIQUES AGONISTES,ANTITUSSIFS MORPHINIQUES VRAIS,À prendre en compte,MINOR,"Risque majoré de dépression respiratoire, pouvant être fatale en cas de surdosage.",
ANALGÉSIQUES MORPHINIQUES DE PALIER II,MORPHINIQUES AGONISTES-ANTAGONISTES,Association déconseillée,MAJOR,"Diminution de l'effet antalgique par blocage compétitif des récepteurs, avec risque d'apparition d'un syndrome de sevrage.",
ANALGÉSIQUES MORPHINIQUES DE PALIER II,MORPHINIQUES ANTAGONISTES PARTIELS,Association déconseillée,MAJOR,Risque de diminution de l’effet antalgique.,
ANALGÉSIQUES MORPHINIQUES DE PALIER III,MORPHINIQUES AGONISTES-ANTAGONISTES,Contre-indication,MAJOR,"Diminution de l'effet antalgique par blocage compétitif des récepteurs, avec risque d'apparition d'un syndrome de sevrage.",
ANALGÉSIQUES MORPHINIQUES DE PALIER III,MORPHINIQUES ANTAGONISTES PARTIELS,Contre-indication,MAJOR,Risque de diminution de l’effet antalgique.,
ANALOGUES DE LA SOMATOSTATINE,INSULINE,Précaution d'emploi,MODERATE,"Risque d'hypoglycémie ou d'hyperglycémie : diminution ou augmentation des besoins en insuline, par diminution ou augmentation de la sécrétion de glucagon endogène.","Prévenir le patient du risque d'hypoglycémie ou d'hyperglycémie, renforcer l'autosurveillance glycémique et adapter si besoin la posologie de l'insuline pendant le traitement par l'analogue de la somatostatine."
ANALOGUES DE LA SOMATOSTATINE,REPAGLINIDE,Précaution d'emploi,MODERATE,"Risque d'hypoglycémie ou d'hyperglycémie : diminution ou augmentation des besoins en repaglidine, par diminution ou augmentation de la sécrétion de glucagon endogène. 16",Renforcer l'autosurveillance glycémique et adapter si besoin la posologie de la repaglidine pendant le traitement par l'analogue de la somatostatine.
ANDROGÈNES,ANTIVITAMINES K,Précaution d'emploi,MODERATE,Augmentation du risque hémorragique par effet direct sur la coagulation et/ou les systèmes fibrinolytiques.,Contrôle plus fréquent de l’INR. Adaptation de la posologie de l’antivitamine K pendant le traitement par l'androgène et après son arrêt.
ANDROGÈNES,INDUCTEURS ENZYMATIQUES,Précaution d'emploi,MODERATE,"Risque de diminution des concentrations plasmatiques de l'androgène et par conséquent de son efficacité, par augmentation de son métabolisme hépatique par l’inducteur.",Surveillance clinique et biologique pendant l’association et 1 à 2 semaines après l’arrêt de l’inducteur.
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,ADRÉNALINE (VOIE BUCCO-DENTAIRE OU SOUS-CUTANÉE),Précaution d'emploi,MODERATE,Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.,"Limiter l'apport, par exemple : moins de 0,1 mg d'adrénaline en 10 minutes ou 0,3 mg en 1 heure chez l'adulte."
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,BÊTA-BLOQUANTS (SAUF ESMOLOL) (Y COMPRIS COLLYRES),Précaution d'emploi,MODERATE,Réduction des réactions cardiovasculaires de compensation par les bêta-bloquants. L'inhibition bêta-adrénergique peut être levée durant l'intervention par les bêta-mimétiques.,"En règle générale, ne pas arrêter le traitement bêta-bloquant et, de toute façon, éviter l'arrêt brutal. Informer l'anesthésiste de ce traitement."
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,BÊTA-BLOQUANTS DANS L'INSUFFISANCE CARDIAQUE,Précaution d'emploi,MODERATE,Réduction des réactions cardiovasculaires de compensation par les bêta-bloquants. L'inhibition bêta-adrénergique peut être levée durant l'intervention par les bêta-stimulants.,"En règle générale, ne pas arrêter le traitement bêta-bloquant et, de toute façon, éviter l'arrêt brutal. Informer l'anesthésiste de ce traitement."
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,ISONIAZIDE,Précaution d'emploi,MODERATE,"Potentialisation de l'effet hépatotoxique de l'isonazide, avec formation accrue de métabolites toxiques de l'isoniazide.","En cas d'intervention programmée, arrêter, par prudence, le traitement par l'isoniazide une semaine avant l'intervention et ne le reprendre que 15 jours après."
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,ISOPRENALINE,Association déconseillée,MAJOR,Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.,
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,SYMPATHOMIMÉTIQUES ALPHA ET BÊTA (VOIE IM ET IV),À prendre en compte,MINOR,Décrit avec l'halothane et le cyclopropane. Troubles du rythme ventriculaire graves par augmentation de l'excitabilité cardiaque.,
ANESTHÉSIQUES VOLATILS HALOGÉNÉS,SYMPATHOMIMÉTIQUES INDIRECTS,Précaution d'emploi,MODERATE,Poussée hypertensive peropératoire.,"En cas d'intervention programmée, il est préférable d'interrompre le traitement quelques jours avant l'intervention."
ANTABUSE (RÉACTION),ALCOOL (BOISSON OU EXCIPIENT),Association déconseillée,MAJOR,"Effet antabuse (chaleur, rougeurs, vomissements, tachycardie).",Eviter la prise de boissons alcoolisées et de médicaments contenant de l'alcool. Tenir compte de l’élimination complète des médicaments en se référant à leur demi-vie avant la reprise de boissons alcoolisées ou du médicament contenant de l’alcool.
ANTAGONISTES DES CANAUX CALCIQUES,IDÉLALISIB,Précaution d'emploi,MODERATE,"Majoration des effets indésirables de l’antagoniste des canaux calciques, à type d’hypotension orthostatique, notamment chez le sujet âgé. 17",Surveillance clinique et adaptation de la posologie de l’antagoniste calcique pendant le traitement par l’idélalisib et après son arrêt.
ANTAGONISTES DES CANAUX CALCIQUES,INHIBITEURS PUISSANTS DU CYP3A4,Association déconseillée,MAJOR,"Majoration des effets indésirables de l’antagoniste des canaux calciques, le plus souvent à type d'hypotension et d'oedèmes, notamment chez le sujet âgé.",Association déconseillée: - avec la lercanidipine. Précaution d'emploi: - avec les autres antagonistes des canaux calciques. Surveillance clinique et adaptation posologique pendant le traitement par l’inhibiteur enzymatique et après son arrêt.
ANTAGONISTES DES CANAUX CALCIQUES,RIFAMPICINE,Association déconseillée,MAJOR,Diminution des concentrations plasmatiques de l'antagoniste du calcium par augmentation de son métabolisme hépatique.,Association déconseillée avec la nimodipine Précaution d'emploi : Surveillance clinique et adaptation éventuelle de la posologie de l'antagoniste du calcium pendant le traitement par la rifampicine et après son arrêt.
ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,ACIDE ACETYLSALICYLIQUE,Précaution d'emploi,MODERATE,"Pour des doses anti-inflammatoires d'acide acétylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyrétiques (>= 500 mg par prise et/ou < 3g par jour) : Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, sous diurétiques, avec une fonction rénale altérée), par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Par ailleurs, réduction de l'effet antihypertenseur.",Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l’association.
ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,DIURÉTIQUES HYPOKALIÉMIANTS,Précaution d'emploi,MODERATE,Risque d'hypotension artérielle brutale et/ou d'insuffisance rénale aiguë lors de l'instauration ou de l'augmentation de la posologie d'un traitement par un antagoniste de l'angiotensine II en cas de déplétion hydrosodée préexistante.,"Dans l'hypertension artérielle, lorsqu'un traitement diurétique préalable a pu entraîner une déplétion hydrosodée, il faut : - soit arrêter le diurétique avant de débuter le traitement par l'antagoniste de l'angiotensine II, et réintroduire un diurétique hypokaliémiant si nécessaire ultérieurement ; - soit administrer des doses initiales réduites d'antagoniste de l'angiotensine II et augmenter progressivement la posologie. Dans tous les cas : surveiller la fonction rénale (créatininémie) dans les premières semaines du traitement par l'antagoniste de l'angiotensine II."
ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,EPLERENONE,Précaution d'emploi,MODERATE,"Majoration du risque d’hyperkaliémie, notamment chez le sujet âgé.",Contrôle strict de la kaliémie et de la fonction rénale pendant l’association.
